country,coordinates,location
US,"{'latitude': 33.907906, 'longitude': -118.372604}",CCA 137th and Hindry 1
US,"{'latitude': 37.45922, 'longitude': -122.438095}",Granelli Ave.
US,"{'latitude': 41.73678, 'longitude': -71.18258}",804 lees river
CA,"{'latitude': 50.42069, 'longitude': -73.87368}",Mistissini Fire Hall
CA,"{'latitude': 53.911438, 'longitude': -122.87895}",AQSU-D277
US,"{'latitude': 38.428413, 'longitude': -120.094345}",Skyhigh
US,"{'latitude': 35.3922, 'longitude': -78.81451}",Cleanairenc/lillington
US,"{'latitude': 38.06762, 'longitude': -122.565475}",Country Club
US,"{'latitude': 37.364513, 'longitude': -122.15294}",Shreve
US,"{'latitude': 48.851, 'longitude': -114.937}",Corvette Dr.
US,"{'latitude': 37.91526, 'longitude': -122.18029}","588 Dalewood Dr, Orinda, CA Outside"
US,"{'latitude': 38.246586, 'longitude': -122.70894}",Lundberg Ave
US,"{'latitude': 37.401638, 'longitude': -122.19773}",West_Floresta_Way
US,"{'latitude': 39.96287, 'longitude': -75.15711}",Green and 12th Philly
US,"{'latitude': 45.78763, 'longitude': -108.53936}",Billings-Outside
US,"{'latitude': 37.08128, 'longitude': -122.07145}",Quail Hollow Bowl
US,"{'latitude': 38.445232, 'longitude': -122.385284}",Oakville Crossroad
CA,"{'latitude': 49.275635, 'longitude': -124.81579}",Bush Road
US,"{'latitude': 37.80683, 'longitude': -122.220436}","Per Pull Rane , Per Err Pull Ray Ain"
CA,"{'latitude': 50.661716, 'longitude': -120.38264}",Pacific Way/Dufferin
US,"{'latitude': 37.97573, 'longitude': -122.54928}","Greenfield Ave, San Rafael, CA"
US,"{'latitude': 34.03872, 'longitude': -118.41668}",Butterfield
US,"{'latitude': 38.631634, 'longitude': -121.25432}",Gold Country Blvd.
US,"{'latitude': 44.44406, 'longitude': -73.059296}","Williston, VT"
US,"{'latitude': 48.481636, 'longitude': -122.32217}",Burlington Heights Dr
US,"{'latitude': 45.503807, 'longitude': -122.53228}",MULTCO B-430 MID COUNTY HEALTH
US,"{'latitude': 37.815407, 'longitude': -121.96637}",Messian Place - Outdoor
US,"{'latitude': 29.81888, 'longitude': -95.69566}","3623 Shadow Trail, Houston, Texas 77084"
CA,"{'latitude': 43.26133, 'longitude': -79.90356}",Marion South
US,"{'latitude': 37.87886, 'longitude': -122.17221}",Tarabrook Drive
US,"{'latitude': 64.894035, 'longitude': -147.68353}",Miner's Court Observatory
US,"{'latitude': 41.241207, 'longitude': -96.14816}",LOutdoor01
US,"{'latitude': 40.883266, 'longitude': -124.00042}",BLR Water Barn
CA,"{'latitude': 53.41918, 'longitude': -113.22016}",ACA_Hansen Estates
US,"{'latitude': 33.47151, 'longitude': -112.07301}",Phoenix Towers
US,"{'latitude': 46.80754, 'longitude': -92.14265}",Duluth Heights
US,"{'latitude': 47.675728, 'longitude': -122.124466}",ScratchingPost
US,"{'latitude': 40.333355, 'longitude': -111.751335}",Lindon 200 S Pioneer Ln powered by UTOPIA Fiber
US,"{'latitude': 37.592266, 'longitude': -121.63139}",8.5 mi Mines
US,"{'latitude': 38.584755, 'longitude': -121.453415}",Forney Way
US,"{'latitude': 41.788597, 'longitude': -72.669}",Habitat for Humanity
US,"{'latitude': 39.339935, 'longitude': -104.96673}",The Light of Dog Farm
US,"{'latitude': 37.82392, 'longitude': -122.23836}",San Carlos and Oakland
