country,coordinates,location
CA,"{'latitude': 45.495842, 'longitude': -75.74545}",NAPS-SNPA_Gatineau-1
US,"{'latitude': 42.045555, 'longitude': -111.42148}",Fish Haven Canyon Estates
US,"{'latitude': 36.695824, 'longitude': -121.80144}",Juniper Court
US,"{'latitude': 45.524063, 'longitude': -122.95157}",Brogden St
US,"{'latitude': 42.567657, 'longitude': -72.800865}",BFD
US,"{'latitude': 37.240322, 'longitude': -121.96528}",BK Lark Ave
US,"{'latitude': 42.176594, 'longitude': -123.22752}",Mellonia Farm
US,"{'latitude': 42.343204, 'longitude': -71.18523}",Newton Center
US,"{'latitude': 38.162666, 'longitude': -122.231346}",ACHS Wolf Den Stadium
US,"{'latitude': 38.313282, 'longitude': -76.75868}",DES Back Sensor
US,"{'latitude': 45.03069, 'longitude': -93.39377}",Northwood West Air Quality
US,"{'latitude': 40.828426, 'longitude': -96.67872}",LLCHD - Clinton Elementary School
US,"{'latitude': 37.96858, 'longitude': -120.29063}",Curtis Creek Ranch
US,"{'latitude': 40.70923, 'longitude': -74.19507}",NJ7347
US,"{'latitude': 37.439686, 'longitude': -122.19027}",Hobart St
US,"{'latitude': 37.454056, 'longitude': -122.1589}",Palo Alto Ave between Fulton St and Everett Ave
US,"{'latitude': 19.311298, 'longitude': -155.87045}",Kaohe Mauka
US,"{'latitude': 40.63271, 'longitude': -105.07242}",Benmer
US,"{'latitude': 47.55287, 'longitude': -122.13287}",The Summit
US,"{'latitude': 38.002686, 'longitude': -92.75868}",Camdenton AQI
US,"{'latitude': 41.311264, 'longitude': -105.56829}",War Memorial Stadium
US,"{'latitude': 37.74444, 'longitude': -122.43337}",Castro-28th
US,"{'latitude': 38.48744, 'longitude': -121.5047}",1404 lomas way sacramento ca 95822
US,"{'latitude': 38.753822, 'longitude': -121.29754}",Bub - Cerritos
US,"{'latitude': 48.866234, 'longitude': -119.177414}",Brown Mtn
US,"{'latitude': 37.47196, 'longitude': -122.23194}",Hawes Right Field
US,"{'latitude': 37.068127, 'longitude': -121.99821}",Vine Hill Garden
US,"{'latitude': 45.580994, 'longitude': -122.731636}",McKenna Park
US,"{'latitude': 37.973755, 'longitude': -122.56796}",Robson Harrington
US,"{'latitude': 38.555035, 'longitude': -121.73035}",Chestnut Park
US,"{'latitude': 47.820827, 'longitude': -92.10382}",Eagles Nest Twnp
US,"{'latitude': 47.766964, 'longitude': -114.074554}",Finley Point
US,"{'latitude': 34.04971, 'longitude': -83.182045}",Zetta Lee Johnson Rd
US,"{'latitude': 33.817127, 'longitude': -118.0781}",Rosina St.
US,"{'latitude': 39.589264, 'longitude': -104.73701}",Saddle Rock South
US,"{'latitude': 42.33702, 'longitude': -71.85691}",Coyote Den
US,"{'latitude': 38.550514, 'longitude': -121.46021}",Serv-Rite Market
US,"{'latitude': 47.64038, 'longitude': -122.17187}",CherryCrest Outside
US,"{'latitude': 40.727, 'longitude': -108.887}",DINO Lodore Ranger Station
CA,"{'latitude': 54.696453, 'longitude': -127.05112}",cleanairplan.ca-Telkwa-04
US,"{'latitude': 38.40561, 'longitude': -122.61685}",Bennett Vista Place
US,"{'latitude': 37.092022, 'longitude': -121.997284}",Skyote Mountain
US,"{'latitude': 37.199966, 'longitude': -108.730095}",KCA_Towaoc
US,"{'latitude': 39.037834, 'longitude': -122.42528}",Wilbur Hot Springs
US,"{'latitude': 37.884678, 'longitude': -122.12302}",Boyer Circle
US,"{'latitude': 37.847954, 'longitude': -122.12289}",Fernwood backyard
US,"{'latitude': 37.441906, 'longitude': -122.15529}",Bryant Street and Addison Avenue
US,"{'latitude': 40.193325, 'longitude': -105.11421}",Salina
CA,"{'latitude': 53.528072, 'longitude': -113.41634}",AQSU-5226
CA,"{'latitude': 53.426987, 'longitude': -117.54366}",WCA_Hinton
US,"{'latitude': 47.7076, 'longitude': -122.110725}",WU Outside
US,"{'latitude': 38.57348, 'longitude': -122.805916}",Lower Arena
US,"{'latitude': 34.156155, 'longitude': -118.000656}",AQMD_NASA_242
US,"{'latitude': 34.515312, 'longitude': -118.155304}",Wild Hare Ranch
US,"{'latitude': 26.672947, 'longitude': -82.040146}",Cape Coral Fire Station #11
US,"{'latitude': 47.805256, 'longitude': -122.3157}",SWRTS
US,"{'latitude': 39.96028, 'longitude': -83.006294}",MORPC_30
US,"{'latitude': 47.584904, 'longitude': -122.14913}",BCAirmonitor-01
US,"{'latitude': 38.231873, 'longitude': -120.37277}",Dacha
US,"{'latitude': 37.882725, 'longitude': -122.26758}",Chez Smiener
US,"{'latitude': 30.586252, 'longitude': -97.77036}","Parkside at Mayfield Ranch@Georgetown, Tx"
US,"{'latitude': 37.299656, 'longitude': -121.88817}",Backyard
US,"{'latitude': 38.77549, 'longitude': -77.28444}","Western Burke, VA"
US,"{'latitude': 63.009537, 'longitude': -141.80096}",Tetlin NWR Northway Bunkhouse
US,"{'latitude': 37.35873, 'longitude': -122.09728}",Magdalena
US,"{'latitude': 37.933697, 'longitude': -122.534424}","230 monte vista ave, larkspur, ca, 94939"
US,"{'latitude': 35.033035, 'longitude': -120.542496}",Upper Vista Tesoro
US,"{'latitude': 38.477413, 'longitude': -122.44961}",Zinfandel Ln
US,"{'latitude': 38.858486, 'longitude': -119.99915}",Ojibwa St
US,"{'latitude': 34.112953, 'longitude': -118.32981}",Hollywood Dell
US,"{'latitude': 33.329514, 'longitude': -111.602356}",Stearn
US,"{'latitude': 37.77509, 'longitude': -122.433174}",Alamo Square
US,"{'latitude': 37.910316, 'longitude': -122.17924}",Dalewood Dr.
US,"{'latitude': 39.80924, 'longitude': -75.43927}",CLA5001
CA,"{'latitude': 43.92146, 'longitude': -65.83394}",AQSU-7497
US,"{'latitude': 39.685993, 'longitude': -123.482956}",Laytonville Unified School District 
US,"{'latitude': 37.40528, 'longitude': -121.87308}",Cataldi
US,"{'latitude': 33.151684, 'longitude': -96.76765}",UNT-GEO-Frisco
US,"{'latitude': 37.332165, 'longitude': -121.957306}",Osborne Ave
US,"{'latitude': 45.53762, 'longitude': -122.666534}",GH Tillamook Row
MX,"{'latitude': 32.52021, 'longitude': -117.07334}",N | Biblioteca Francisco Eusebio Kino | AYUNTAMIENTO DE TIJUANA
US,"{'latitude': 35.158676, 'longitude': -101.83544}",Amarillo
US,"{'latitude': 37.297634, 'longitude': -121.87977}",Almaden Walk Loop
US,"{'latitude': 37.851658, 'longitude': -122.12118}",MORAGA57
US,"{'latitude': 38.6852, 'longitude': -121.10758}","Folsom, California"
US,"{'latitude': 37.254707, 'longitude': -80.06595}",The Ridge
US,"{'latitude': 40.327843, 'longitude': -80.20408}",Sir James
US,"{'latitude': 39.67582, 'longitude': -105.26798}",Gopher70
US,"{'latitude': 39.689774, 'longitude': -119.90899}",Silly J air
US,"{'latitude': 38.295074, 'longitude': -122.53546}",Hawks Beard
US,"{'latitude': 40.078087, 'longitude': -75.1096}",NE Elkins Park PA.
US,"{'latitude': 34.15206, 'longitude': -117.93399}",Duarte Hills
CA,"{'latitude': 49.66113, 'longitude': -110.2928}",AQSU-2DB6
US,"{'latitude': 47.70082, 'longitude': -122.19287}",Forbes Creek
US,"{'latitude': 45.42304, 'longitude': -122.82765}",Bull Mountain
US,"{'latitude': 33.137512, 'longitude': -96.76791}",Frisco 01
US,"{'latitude': 37.408405, 'longitude': -122.10086}",The Coop
US,"{'latitude': 32.77678, 'longitude': -117.15156}",Circa37
US,"{'latitude': 37.341526, 'longitude': -122.109085}",Camino Hermoso
US,"{'latitude': 42.54847, 'longitude': -83.23116}",Pilgrim near Pine
MX,"{'latitude': 25.639122, 'longitude': -100.34141}",CECVAC
US,"{'latitude': 33.012363, 'longitude': -96.90979}",UNT-GEO-33
US,"{'latitude': 39.598278, 'longitude': -119.23962}",KM4PFH
US,"{'latitude': 40.75687, 'longitude': -111.8557}",Lehmbegovic
CA,"{'latitude': 43.660366, 'longitude': -79.39796}",MP14
CA,"{'latitude': 48.232895, 'longitude': -70.20548}",L'Anse Saint Jean
US,"{'latitude': 38.150974, 'longitude': -122.863945}",Barinaga Ranch
US,"{'latitude': 37.791164, 'longitude': -122.43373}",SK Patio
US,"{'latitude': 38.208424, 'longitude': -120.46257}",Sheep Ranch
US,"{'latitude': 37.234093, 'longitude': -121.86431}",Almaden Hills Estates
US,"{'latitude': 37.46538, 'longitude': -122.25515}",Faded Giant
US,"{'latitude': 36.672455, 'longitude': -119.9252}",Central Ave
US,"{'latitude': 40.695404, 'longitude': -122.40252}",Lake Blvd &amp; Shasta Dam Blvd
US,"{'latitude': 40.499287, 'longitude': -105.03428}",Westchase
US,"{'latitude': 36.518147, 'longitude': -121.79705}",Carmel Valley Ranch
US,"{'latitude': 32.094215, 'longitude': -81.12027}",Hudson Hill--02
US,"{'latitude': 39.27733, 'longitude': -120.1255}",Eagle Feather
US,"{'latitude': 34.08801, 'longitude': -118.38403}",HOL
US,"{'latitude': 34.273727, 'longitude': -118.305725}",Sunland
US,"{'latitude': 38.062325, 'longitude': -103.248535}",APCD Las Animas
US,"{'latitude': 37.12282, 'longitude': -120.22234}","Pheasant Run Golf Course #17 Chowchilla, Ca."
US,"{'latitude': 43.951687, 'longitude': -70.962135}",Tibbetts Outdoor
US,"{'latitude': 34.190872, 'longitude': -118.75315}",Lambourne Place
US,"{'latitude': 40.608765, 'longitude': -122.41021}",BelAir Estates
US,"{'latitude': 38.012554, 'longitude': -122.58836}",Crane Drive San Anselmo
US,"{'latitude': 38.983154, 'longitude': -121.3733}",CARB_PCAPCD _SMOKE _SHERIDAN 
US,"{'latitude': 34.23586, 'longitude': -117.19023}",BDF Mobile1
US,"{'latitude': 39.507618, 'longitude': -119.82102}",Arlington / Nixon
US,"{'latitude': 37.440678, 'longitude': -122.15662}",Bluey house
US,"{'latitude': 40.969124, 'longitude': -124.030945}",Rock Pit Rd
US,"{'latitude': 45.67529, 'longitude': -111.04311}",Bozeman—Southside
US,"{'latitude': 30.121431, 'longitude': -95.60936}",Raleigh Creek
US,"{'latitude': 37.2655, 'longitude': -107.87992}",Chickadee1
US,"{'latitude': 37.711723, 'longitude': -121.841644}",Dublin Onyx
US,"{'latitude': 37.728706, 'longitude': -122.41765}",Silver
US,"{'latitude': 45.36162, 'longitude': -122.86322}",Copper Court
US,"{'latitude': 37.912224, 'longitude': -122.27648}","Kensington, CA"
US,"{'latitude': 38.31652, 'longitude': -122.44967}",Norrbom Rd
US,"{'latitude': 37.476913, 'longitude': -122.18627}",Marsh @ Bay Outside
US,"{'latitude': 37.36117, 'longitude': -122.00734}",Ponderosa
US,"{'latitude': 37.914703, 'longitude': -122.03422}",San Benito
US,"{'latitude': 34.4829, 'longitude': -82.91216}",Sugarcane
US,"{'latitude': 37.826675, 'longitude': -121.95868}",Athenian Dase
US,"{'latitude': 48.604065, 'longitude': -118.060905}",940 Juniper St Kettle falls wa
CA,"{'latitude': 49.277214, 'longitude': -124.88413}",7563 Pacific Rim Highway
US,"{'latitude': 41.5838, 'longitude': -121.9133}",CARB_SCAPCD_TENNANT
CA,"{'latitude': 43.66052, 'longitude': -79.39819}",MP5
US,"{'latitude': 38.401573, 'longitude': -122.36042}",Yountville Community Center
CA,"{'latitude': 49.703087, 'longitude': -123.139694}",Hospital Hill
